modelo,falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
mlp,oscilacao,90,70,70,195,21,174,5,0.9625,0.8958333333333333,0.8125,0.8125,0.8125,0.979166666659867,141,3,3,13
mlp,oscilacao,90,75,75,182,22,160,5,0.9666666666666667,0.9538246268656716,0.7894736842105263,0.9375,0.8571428571428571,0.9701492537241034,130,4,1,15
mlp,oscilacao,90,80,80,170,14,156,5,0.9928571428571429,0.9545454545454546,1.0,0.9090909090909091,0.9523809523809523,0.9999999999922481,129,0,1,10
mlp,oscilacao,90,85,85,160,18,142,5,0.9615384615384616,0.8760683760683761,0.8333333333333334,0.7692307692307693,0.8,0.982905982897582,115,2,3,10
mlp,oscilacao,90,90,90,152,18,134,5,0.96,0.8838481338481339,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9819819819731352,109,2,3,11
mlp,oscilacao,100,5,5,2717,334,2383,5,0.9654867256637168,0.9483900986413549,0.8116883116883117,0.9259259259259259,0.8650519031141869,0.9708542713562961,1932,58,20,250
mlp,oscilacao,100,10,10,1359,168,1191,5,0.9663716814159292,0.9554976920345604,0.810126582278481,0.9411764705882353,0.8707482993197279,0.9698189134799097,964,30,8,128
mlp,oscilacao,100,15,15,906,113,793,5,0.952317880794702,0.9349596186945585,0.7477477477477478,0.9120879120879121,0.8217821782178217,0.9578313252997623,636,28,8,83
mlp,oscilacao,100,20,20,680,79,601,5,0.9699115044247788,0.9694049401197604,0.8051948051948052,0.96875,0.8794326241134752,0.9700598802375847,486,15,2,62
mlp,oscilacao,100,25,25,544,70,474,5,0.9577777777777777,0.922271573604061,0.8032786885245902,0.875,0.8376068376068376,0.969543147205661,382,12,7,49
mlp,oscilacao,100,30,30,453,54,399,5,0.968,0.9621669870914584,0.8076923076923077,0.9545454545454546,0.875,0.9697885196345324,321,10,2,42
mlp,oscilacao,100,35,35,389,48,341,5,0.953125,0.9147645879094642,0.7619047619047619,0.8648648648648649,0.810126582278481,0.964664310950655,273,10,5,32
mlp,oscilacao,100,40,40,340,40,300,5,0.9785714285714285,0.9733333333333334,0.8529411764705882,0.9666666666666667,0.90625,0.97999999999608,245,5,1,29
