falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,tn,fp,fn,tp
stuck,60,1,1,13333,2078,11255,5,0.8613861386138614,0.6451150105847452,0.6305525460455038,0.32678270634475015,0.43047337278106507,8988,341,1199,582
stuck,50,n/3,16,834,116,718,5,0.8805755395683453,0.643235294117647,0.6888888888888889,0.31,0.42758620689655175,581,14,69,31
stuck,50,5,5,2669,369,2300,5,0.8810810810810811,0.6403441123284757,0.6857142857142857,0.3037974683544304,0.42105263157894735,1860,44,220,96
stuck,90,n/3,30,444,91,353,5,0.8027027027027027,0.6307077625570776,0.5531914893617021,0.3333333333333333,0.416,271,21,52,26
stuck,50,1,1,13343,1858,11485,5,0.882051282051282,0.6358986632335235,0.7167182662538699,0.29101194217473286,0.4139472507822977,9341,183,1128,463
stuck,70,n/3,23,580,101,479,5,0.8583333333333333,0.6323157110945644,0.7741935483870968,0.2823529411764706,0.41379310344827586,388,7,61,24
stuck,30,5,5,2673,278,2395,5,0.9020224719101123,0.6441433410590123,0.5725190839694656,0.31645569620253167,0.4076086956521739,1932,56,162,75
stuck,60,n/3,20,667,103,564,5,0.8684684684684685,0.6262477696870328,0.75,0.2696629213483146,0.39669421487603307,458,8,65,24
stuck,40,n/3,13,1028,124,904,5,0.8982456140350877,0.6272918160401516,0.717948717948718,0.2692307692307692,0.3916083916083916,740,11,76,28
stuck,30,1,1,13363,1402,11961,5,0.8984283789851819,0.6302166555820278,0.5511182108626198,0.28870292887029286,0.37891268533772654,9659,281,850,345
stuck,40,1,1,13353,1632,11721,5,0.8899775280898876,0.6214692761919497,0.6518650088809946,0.2630824372759857,0.3748723186925434,9534,196,1028,367
stuck,100,n/3,33,403,89,314,5,0.8,0.6103434261328998,0.6451612903225806,0.2631578947368421,0.37383177570093457,248,11,56,20
stuck,20,5,5,2675,232,2443,5,0.8930337078651686,0.6480065879714454,0.3854748603351955,0.350253807106599,0.3670212765957447,1918,110,128,69
stuck,40,5,5,2671,324,2347,5,0.891685393258427,0.616078510589404,0.6764705882352942,0.2490974729241877,0.3641160949868074,1915,33,208,69
